ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,WY,MARQUETTE,616,1979-October,44.3,-109.24,8760,Park,Carter Creek-South Fork Shoshone River (100800130303)
SNTL,WY,MED BOW,1196,2012-August,41.38,-106.35,10500,Carbon,Spring Creek (101800040302)
SNTL,WY,MIDDLE POWDER,625,1978-October,43.63,-107.18,7760,Washakie,Little Canyon Creek (100800080205)
SNTL,WY,NEW FORK LAKE,661,1984-October,43.11,-109.95,8340,Sublette,Upper Pine Creek (140401020201)
SNTL,WY,NORTH FRENCH CREEK,668,1962-September,41.33,-106.38,10130,Carbon,Encampment River-West Fork (101800020502)
SNTL,WY,OLD BATTLE,673,1962-September,41.15,-106.97,10000,Carbon,Upper Sage Creek (101800020901)
SNTL,WY,OWL CREEK,676,1979-October,43.66,-109.01,8975,Hot Springs,Dry Cottonwood Creek (100800070103)
SNTL,WY,PARKER PEAK,683,1979-October,44.73,-109.91,9400,Park,Sour Creek (100700010502)
SNTL,WY,PHILLIPS BENCH,689,1976-March,43.52,-110.91,8200,Teton,Sheep Creek (170401030504)
SNTL,WY,POCKET CREEK,1133,2009-September,42.71,-109.41,9360,Sublette,Cottonwood Creek (140401020505)
SNTL,WY,POWDER RIVER PASS,703,1949-October,44.16,-107.13,9480,Johnson,Bud Kimball Creek (100800080304)
SNTL,WY,RENO HILL,716,1979-October,42.57,-106.09,8400,Natrona,Mountain Home Number 1 Reservoir-North Platte River (101800070901)
SNTL,WY,SAGE CREEK BASIN,1015,2001-October,41.4,-107.26,7850,Carbon,Little Jack Creek (101800020802)
SNTL,WY,SALT RIVER SUMMIT,730,1959-October,42.51,-110.91,7640,Lincoln,Upper Crow Creek (170401050101)
SNTL,WY,SAND LAKE,731,1979-October,41.46,-106.28,10050,Carbon,Turpin Creek-Medicine Bow River (101800040101)
SNTL,WY,SANDSTONE RS,732,1984-October,41.11,-107.17,8150,Carbon,Little Sandstone Creek (140500030208)
SNTL,WY,SHELL CREEK,751,1978-October,44.5,-107.43,9580,Big Horn,Willett Creek-Shell Creek (100800100101)
SNTL,WY,SNAKE RIVER STATION,764,1989-October,44.13,-110.67,6920,Teton,Upper Pacific Creek (170401010402)
SNTL,WY,SNIDER BASIN,765,1980-September,42.49,-110.53,8060,Sublette,Upper South Piney Creek (140401010906)
SNTL,WY,SOLDIER PARK,1132,2010-August,44.35,-107.01,8720,Johnson,North Clear Creek (100902060103)
SNTL,WY,SOUTH BRUSH CREEK,772,1976-February,41.33,-106.5,8440,Carbon,Henry Creek-Big Creek (101800020303)
SNTL,WY,SOUTH PASS,775,1984-October,42.57,-108.84,9040,Fremont,Headwaters Little Popo Agie River (100800030101)
SNTL,WY,SPRING CREEK DIVIDE,779,1978-October,42.53,-110.66,9000,Sublette,Spring Creek-Green River (140401011001)
SNTL,WY,ST. LAWRENCE ALT,786,1983-October,43.03,-109.17,8620,Fremont,Middle North Fork Little Wind River (100800020105)
SNTL,WY,SUCKER CREEK,798,1978-October,44.72,-107.4,8880,Sheridan,West Fork Big Goose Creek (100901010203)
SNTL,WY,SYLVAN LAKE,806,1978-October,44.48,-110.16,8420,Park,Chipmunk Creek (100700010404)
SNTL,WY,SYLVAN ROAD,807,1986-October,44.48,-110.04,7120,Park,Crow Creek (100800120103)
SNTL,WY,THUMB DIVIDE,816,1987-September,44.37,-110.58,7980,Teton,Lower Pelican Creek (100700010409)
SNTL,WY,TIE CREEK,818,1994-August,44.81,-107.41,6870,Sheridan,Lower Big Goose Creek (100901010205)
SNTL,WY,TIMBER CREEK,819,1967-August,44.03,-109.18,7950,Park,Rose Creek-Greybull River (100800090210)
SNTL,WY,TOGWOTEE PASS,822,1960-October,43.75,-110.06,9580,Teton,Upper Horse Creek (100800010201)
SNTL,WY,TOWNSEND CREEK,826,1979-October,42.7,-108.9,8700,Fremont,Sand Creek (100800030203)
SNTL,WY,TRIPLE PEAK,831,1984-October,42.76,-110.59,8500,Sublette,Lower Horse Creek (140401010503)
